Sensor ID,13_10000_middle,13_16800_middle,13_3000_middle,13_6000_middle,13_8000_middle,15_10000_middle,15_16800_middle,15_3000_middle,15_6000_middle,15_8000_middle,17_10000_middle,17_16800_middle,17_3000_middle,17_6000_middle,17_8000_middle,19_10000_middle,19_16800_middle,19_3000_middle,19_6000_middle,19_8000_middle,21_10000_middle,21_16800_middle,21_3000_middle,21_6000_middle,21_8000_middle,23_10000_middle,23_16800_middle,23_3000_middle,23_6000_middle,23_8000_middle,28_10000_middle,28_16800_middle,28_3000_middle,28_6000_middle,28_8000_middle,33_10000_middle,33_16800_middle,33_3000_middle,33_6000_middle,33_8000_middle,38_10000_middle,38_16800_middle,38_3000_middle,38_6000_middle,38_8000_middle,43_10000_middle,43_16800_middle,43_3000_middle,43_6000_middle,43_8000_middle,48_10000_middle,48_16800_middle,48_3000_middle,48_6000_middle,48_8000_middle,53_10000_middle,53_16800_middle,53_3000_middle,53_6000_middle,53_8000_middle,13_10000_lower,13_16800_lower,13_3000_lower,13_6000_lower,13_8000_lower,15_10000_lower,15_16800_lower,15_3000_lower,15_6000_lower,15_8000_lower,17_10000_lower,17_16800_lower,17_3000_lower,17_6000_lower,17_8000_lower,19_10000_lower,19_16800_lower,19_3000_lower,19_6000_lower,19_8000_lower,21_10000_lower,21_16800_lower,21_3000_lower,21_6000_lower,21_8000_lower,23_10000_lower,23_16800_lower,23_3000_lower,23_6000_lower,23_8000_lower,28_10000_lower,28_16800_lower,28_3000_lower,28_6000_lower,28_8000_lower,33_10000_lower,33_16800_lower,33_3000_lower,33_6000_lower,33_8000_lower,38_10000_lower,38_16800_lower,38_3000_lower,38_6000_lower,38_8000_lower,43_10000_lower,43_16800_lower,43_3000_lower,43_6000_lower,43_8000_lower,48_10000_lower,48_16800_lower,48_3000_lower,48_6000_lower,48_8000_lower,53_10000_lower,53_16800_lower,53_3000_lower,53_6000_lower,53_8000_lower,13_10000_upper,13_16800_upper,13_3000_upper,13_6000_upper,13_8000_upper,15_10000_upper,15_16800_upper,15_3000_upper,15_6000_upper,15_8000_upper,17_10000_upper,17_16800_upper,17_3000_upper,17_6000_upper,17_8000_upper,19_10000_upper,19_16800_upper,19_3000_upper,19_6000_upper,19_8000_upper,21_10000_upper,21_16800_upper,21_3000_upper,21_6000_upper,21_8000_upper,23_10000_upper,23_16800_upper,23_3000_upper,23_6000_upper,23_8000_upper,28_10000_upper,28_16800_upper,28_3000_upper,28_6000_upper,28_8000_upper,33_10000_upper,33_16800_upper,33_3000_upper,33_6000_upper,33_8000_upper,38_10000_upper,38_16800_upper,38_3000_upper,38_6000_upper,38_8000_upper,43_10000_upper,43_16800_upper,43_3000_upper,43_6000_upper,43_8000_upper,48_10000_upper,48_16800_upper,48_3000_upper,48_6000_upper,48_8000_upper,53_10000_upper,53_16800_upper,53_3000_upper,53_6000_upper,53_8000_upper
1,773.046511627907,797.36,883.0,755.0,737.4545454545455,901.8453608247422,919.0,883.0,883.0,881.92,1049.909090909091,1045.0,1070.32,976.32,975.44,1143.0,1143.8,1199.0,1124.5111111111112,1087.5833333333333,1235.8,1234.4583333333333,1285.2168674698796,1217.56,1181.3673469387754,1351.4489795918366,1319.64,1421.44,1337.04,1301.778947368421,1628.44,1591.0,1673.52,1639.0,1556.1494252873563,1911.0,1929.4,2030.44,1965.08,1905.44,2166.816091954023,2188.6703296703295,2192.8105263157895,2193.32,2138.714285714286,2428.2,2461.24,2478.1666666666665,2498.6,2442.733333333333,2762.84,2747.0,2734.7073170731705,2826.5402298850577,2747.0,3044.28,3074.3882352941177,3064.0,3064.68,3044.1546391752577,0.0,0.0,879.0,754.5238095238095,0.0,879.0,918.8536585365854,878.75,882.1168831168832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.952380952381,1069.6666666666667,0.0,0.0,0.0,1235.4705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.4285714285713,0.0,1638.9,0.0,1910.6888888888889,0.0,0.0,0.0,0.0,0.0,2163.0,0.0,0.0,0.0,0.0,0.0,2455.0,0.0,2435.0,0.0,2746.120879120879,0.0,2779.6153846153848,2746.3263157894735,0.0,3025.8571428571427,0.0,0.0,0.0,844.1428571428571,0.0,887.0,755.7111111111111,798.6666666666666,955.0,919.7422680412371,892.76,884.0952380952381,0.0,1059.0,0.0,0.0,0.0,0.0,1200.090909090909,0.0,1199.6464646464647,1139.0,1163.0,0.0,1408.0,0.0,0.0,1233.0,1557.0,1370.84,0.0,0.0,1344.6,0.0,1591.4137931034484,0.0,1639.8163265306123,1607.3076923076924,1912.4193548387098,0.0,0.0,0.0,0.0,2191.923076923077,2219.0,2287.8,0.0,2233.0,0.0,0.0,0.0,0.0,2466.478260869565,0.0,2747.5,2800.1111111111113,0.0,2747.2380952380954,0.0,3083.0,0.0,0.0,3071.0
2,685.3673469387755,619.7391304347826,724.3170731707318,764.88,693.7474747474747,808.64,742.3563218390805,792.6161616161617,895.8571428571429,817.3555555555556,931.4444444444445,875.36,922.1111111111111,966.6326530612245,949.04,998.44,975.56,1034.9506172839506,1088.3333333333333,1057.6,1110.36,1105.632911392405,1156.6842105263158,1233.5,1177.36,1195.0,1225.7474747474748,1278.0588235294117,1340.84,1247.0,1494.56,1503.0,1551.0,1640.4,1491.68,1822.3469387755101,1831.0,1881.0851063829787,1902.8736842105263,1818.2244897959183,2103.0,2108.0731707317073,2120.04,2138.285714285714,2097.6373626373625,2380.1428571428573,2411.0,2402.325842696629,2396.4,2381.0,2677.285714285714,2673.185567010309,2671.0,2688.6161616161617,2675.0,2976.978021978022,2982.32,2972.6969696969695,2978.72,2976.904761904762,663.0,595.0,699.6666666666666,0.0,0.0,0.0,717.4615384615385,0.0,869.25,0.0,923.0,0.0,895.0,0.0,0.0,0.0,0.0,1011.8888888888889,0.0,1034.0,0.0,1080.090909090909,1132.0,1210.2727272727273,0.0,1193.8505747126437,1199.0,1252.8666666666666,0.0,1241.88,0.0,1501.9545454545455,1550.4666666666667,0.0,0.0,1807.0,1830.6279069767443,1858.2,0.0,0.0,2100.9024390243903,2085.4,0.0,2115.75,2075.4444444444443,2371.0,2409.5263157894738,0.0,0.0,0.0,0.0,0.0,2670.1052631578946,0.0,2674.3658536585367,0.0,0.0,2947.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,803.0,0.0,835.8,0.0,0.0,0.0,991.0,0.0,0.0,0.0,1043.0,1113.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,1198.4736842105262,0.0,0.0,0.0,1251.0,0.0,1503.7272727272727,1551.4545454545455,0.0,0.0,0.0,1831.9565217391305,1903.0,1928.6,1843.0,2103.9473684210525,0.0,0.0,0.0,0.0,2407.0,2412.246753246753,2425.181818181818,0.0,0.0,2701.0,2700.3333333333335,2672.975903614458,2711.0,2676.0,3000.777777777778,0.0,0.0,0.0,3000.0
3,827.0,801.3655913978495,809.021978021978,793.44,837.4186046511628,948.8426966292135,920.6,877.7216494845361,907.530612244898,959.0842105263158,1071.0,1035.0,1001.5853658536586,1026.96,1064.3809523809523,1189.2222222222222,1155.79012345679,1079.0454545454545,1085.3838383838383,1188.92,1239.0,1276.8222222222223,1174.7241379310344,1142.658536585366,1317.12,1313.139534883721,1357.8045977011495,1270.24,1270.08,1424.68,1612.68,1649.6133333333332,1562.2967032967033,1558.48,1724.2682926829268,1876.1182795698924,1950.7837837837837,1892.111111111111,1893.2784810126582,1981.0,2132.8536585365855,2169.76,2155.28,2147.6075949367087,2225.64,2442.76,2440.1929824561403,2446.04,2451.5842696629215,2495.32,2736.6,2727.64,2736.2105263157896,2738.2087912087914,2736.6363636363635,3029.72,3039.4210526315787,3049.4,3041.6,3046.32,826.1910112359551,319.1666666666667,0.0,0.0,827.0,939.0,0.0,0.0,0.0,947.0,1069.716049382716,1034.2207792207791,987.0,0.0,0.0,0.0,1133.6666666666667,0.0,0.0,0.0,1238.076923076923,0.0,0.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.9130434782608,1541.2222222222222,0.0,0.0,1856.3333333333333,1932.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0,0.0,0.0,0.0,2711.0,0.0,2714.2,2711.0,2719.0,0.0,3015.0,0.0,0.0,0.0,827.5365853658536,65535.0,833.6666666666666,0.0,861.1538461538462,971.8888888888889,0.0,887.0,933.0,984.0,1075.7179487179487,1040.3176470588235,1022.304347826087,0.0,1089.0,1210.7894736842106,1179.6153846153845,1104.0,1107.0,0.0,1242.9024390243903,1300.6,1199.923076923077,1166.764705882353,0.0,1336.4285714285713,1381.7692307692307,0.0,0.0,0.0,0.0,1671.0,0.0,0.0,1748.7777777777778,1899.0,1973.5263157894738,1917.4,1918.8095238095239,0.0,2157.0,0.0,0.0,2169.8571428571427,0.0,0.0,2463.6,0.0,2475.3636363636365,0.0,2761.0,0.0,2761.8571428571427,2763.0,2760.818181818182,0.0,3064.4545454545455,0.0,0.0,0.0
4,762.52,23.753246753246753,788.8,742.1489361702128,903.16,883.0,38.09278350515464,886.8,861.92,981.2,1003.929292929293,93.69148936170212,1006.72,980.6666666666666,1025.0,1126.8,150.2842105263158,1126.56,1104.12,1115.0,1230.04,1241.35,1246.2727272727273,1193.92,1236.12,1351.6,243.4494382022472,1367.16,1313.68,1357.24,1609.8,1633.76,1631.0,1596.9148936170213,1569.92,1933.56,1967.4,1958.6363636363637,1924.24,1908.5510204081634,2195.28,2225.1935483870966,2195.6,2187.6,2186.1428571428573,2502.04,2474.061224489796,2460.0632911392404,2495.56,2474.68,2792.25,2761.48,2760.0632911392404,2757.721649484536,2765.516853932584,3059.871794871795,3076.56,3060.3714285714286,3057.6222222222223,3062.3488372093025,0.0,0.0,0.0,718.3333333333334,0.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.8048780487804,0.0,1214.6923076923076,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1626.1707317073171,1573.6666666666667,0.0,0.0,0.0,1938.0,0.0,1889.0,0.0,2163.5714285714284,0.0,0.0,2163.75,0.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2743.0,0.0,0.0,3035.8,3034.5555555555557,3039.5714285714284,0.0,57096.739130434784,0.0,0.0,0.0,887.0,22228.333333333332,0.0,0.0,0.0,1031.0,11466.333333333334,0.0,1004.25,0.0,0.0,13763.0,0.0,0.0,1115.7835051546392,0.0,1265.2857142857142,1255.0,0.0,0.0,0.0,954.0,0.0,0.0,0.0,0.0,0.0,1631.9473684210527,0.0,0.0,0.0,0.0,1980.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.3333333333335,0.0,0.0,2818.0,0.0,2784.5238095238096,2775.0,0.0,3081.7272727272725,0.0,3084.2,3079.0,0.0
5,706.56,873.4367816091954,703.0,794.72,836.4,832.1836734693877,1006.28,809.36,878.4,936.32,939.6,1070.44,924.5353535353536,1014.92,1000.5903614457832,1075.0,1141.0,1055.68,1137.28,1147.0,1165.72,1232.24,1177.24,1255.72,1260.16,1295.0,1368.098901098901,1311.1025641025642,1375.878048780488,1350.2727272727273,1565.4736842105262,1643.6666666666667,1575.96,1667.08,1615.0,1889.4,1919.6896551724137,1918.08,1952.2,1935.1411764705883,2197.088888888889,2217.987951807229,2169.4086021505377,2246.2272727272725,2212.4193548387098,2472.5064935064934,2470.1111111111113,2464.84,2539.76,2502.2,2764.2,2757.0,2755.6,2800.6666666666665,2765.753246753247,3075.0,3045.7764705882355,3056.96,3073.048780487805,3076.230769230769,0.0,0.0,0.0,0.0,0.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,0.0,0.0,1069.2857142857142,1115.909090909091,0.0,0.0,1145.878048780488,0.0,0.0,0.0,0.0,0.0,0.0,1343.4444444444443,1286.84,0.0,0.0,0.0,0.0,0.0,0.0,1613.8292682926829,1867.4444444444443,0.0,0.0,0.0,1907.0,2174.3333333333335,2192.4117647058824,2147.0,2224.1428571428573,2191.266666666667,0.0,2444.913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072.7894736842104,0.0,0.0,3049.133333333333,3050.1111111111113,0.0,898.6923076923077,0.0,0.0,0.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.5294117647059,1076.2820512820513,0.0,0.0,0.0,1148.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.142857142857,1379.0,1590.6666666666667,1667.8,0.0,0.0,1616.7894736842106,1915.5,1943.3076923076924,0.0,0.0,1960.3333333333333,2221.0,0.0,2193.0,2271.8,2236.7391304347825,2497.782608695652,2495.0,0.0,0.0,0.0,0.0,0.0,0.0,2828.75,2790.478260869565,3076.217391304348,3071.266666666667,0.0,3083.0,0.0
6,882.48,693.8,752.0,751.5714285714286,709.28,1020.2,820.2584269662922,881.64,872.8604651162791,839.4,1141.0,944.2747252747253,991.0,991.32,955.0,1181.56,1070.88,1113.3720930232557,1079.0,1079.0,1312.7319587628865,1171.68,1233.8453608247423,1191.0487804878048,1181.595744680851,1395.56,1315.36,1353.530612244898,1311.0,1273.909090909091,1605.909090909091,1577.8051948051948,1610.16,1567.8,1543.6021505376343,1892.6842105263158,1914.6,1912.8222222222223,1883.08,1892.7263157894736,2151.0,2193.0,2167.24,2148.7948717948716,2159.72,2450.5180722891564,2483.84,2457.0444444444443,2450.5164835164837,2447.6153846153848,2746.8,2775.96,2741.76,2750.718309859155,2730.96,3053.247191011236,1137.5777777777778,3058.2571428571428,3046.08,3049.978723404255,0.0,0.0,0.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,0.0,989.9268292682926,0.0,951.7619047619048,0.0,0.0,0.0,1078.844155844156,1077.9135802469136,0.0,0.0,0.0,1165.6666666666667,0.0,0.0,0.0,0.0,1309.8095238095239,0.0,0.0,0.0,0.0,0.0,0.0,1868.2173913043478,0.0,0.0,0.0,0.0,2149.7179487179487,0.0,0.0,0.0,0.0,0.0,0.0,2431.0,0.0,0.0,0.0,0.0,0.0,2725.5,0.0,3029.6666666666665,639.8,3034.1304347826085,0.0,0.0,0.0,0.0,778.3333333333334,778.2,0.0,0.0,845.9090909090909,0.0,898.4285714285714,0.0,1151.0,968.3333333333334,992.75,0.0,955.8192771084338,0.0,0.0,1136.4285714285713,1082.298969072165,1080.2307692307693,1333.6666666666667,0.0,1259.0,0.0,1207.0,0.0,0.0,1381.0,1312.948717948718,1283.0,1630.8260869565217,1603.5217391304348,0.0,1594.0,1567.5714285714287,1919.0,0.0,1937.8,0.0,1915.0,2156.2105263157896,0.0,0.0,2173.5454545454545,0.0,2477.1176470588234,0.0,2480.3333333333335,2473.222222222222,2473.6666666666665,0.0,0.0,0.0,2777.4,0.0,3079.0,1571.0,3080.1428571428573,0.0,3075.0
7,829.1363636363636,760.64,688.7551020408164,743.0,739.16,911.0,803.8095238095239,809.44,863.0,860.0243902439024,970.7979797979798,925.2588235294118,928.9545454545455,982.1208791208791,981.3505154639175,1083.4044943820224,1057.36,1064.32,1109.84,1102.948717948718,1204.939393939394,1173.04,1171.2222222222222,1168.4545454545455,1167.212765957447,1331.48,1300.76,1290.4105263157894,1287.3956043956043,1288.05,1601.3684210526317,1582.0,1576.68,1579.88,1577.24,1896.4,1912.287356321839,1905.0,1906.24,1890.421052631579,2191.0,2193.794520547945,2187.04,2196.181818181818,2195.0,2468.3636363636365,2469.75,2474.904761904762,2472.2,2470.4,2769.712643678161,2770.6721311475408,2774.0117647058823,2773.1304347826085,2771.5777777777776,3081.48,3080.16,3076.7272727272725,3075.0,3073.4578313253014,0.0,0.0,679.0,741.8205128205128,0.0,910.9090909090909,0.0,0.0,861.8947368421053,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.0,1159.0,0.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.0,0.0,0.0,0.0,2174.7894736842104,2169.56,0.0,2170.6,2192.5238095238096,0.0,2443.3636363636365,2467.0,0.0,2463.0,0.0,2746.304347826087,0.0,0.0,2763.0,0.0,0.0,0.0,3074.1529411764704,0.0,856.6666666666666,0.0,711.0,745.2051282051282,0.0,911.5714285714286,829.25,0.0,865.379746835443,883.2222222222222,995.0,951.0,953.3333333333334,1007.0,1007.0,1109.0,0.0,0.0,0.0,1127.5454545454545,1231.0,0.0,1197.2222222222222,1191.7272727272727,1192.3333333333333,0.0,0.0,1316.6,1312.0,1312.0,1625.5,0.0,0.0,0.0,0.0,0.0,1939.0,0.0,0.0,1916.5,2198.68,2220.3333333333335,0.0,2221.0,2197.3076923076924,2493.6666666666665,2495.285714285714,2500.4285714285716,2496.6,2495.0,2795.0,2796.0,2798.733333333333,2800.0,2797.222222222222,0.0,0.0,3102.6666666666665,3077.0,3099.0
8,698.5324675324675,687.72,820.4418604651163,827.36,668.25,787.0,811.258064516129,898.5121951219512,895.0430107526881,798.24,907.1818181818181,931.75,967.12,1027.9565217391305,911.0,1052.090909090909,1051.9638554216867,1099.2448979591836,1132.6,1055.0,1152.0454545454545,1155.72,1208.92,1252.8,1163.48,1282.64,1285.88,1322.72,1372.0,1283.68,1568.8,1570.3513513513512,1563.5714285714287,1611.6530612244899,1571.9484536082475,1907.12,1895.4761904761904,1890.4285714285713,1947.88,1899.142857142857,2175.8101265822784,2165.12,2153.76,2178.1428571428573,2177.5,2452.975903614458,2454.5789473684213,2451.48,2465.8,2454.076923076923,2754.7402597402597,2753.576271186441,2747.3076923076924,2756.3809523809523,2752.8426966292136,3064.64,3056.777777777778,3057.04,3071.96,3055.3333333333335,691.0,0.0,0.0,0.0,0.0,786.1282051282051,787.0,0.0,887.0,0.0,0.0,906.6,0.0,1003.0,909.9879518072289,1027.0,1024.142857142857,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.1818181818182,1538.6363636363637,0.0,1547.0,0.0,1867.0,0.0,0.0,0.0,2151.8,0.0,0.0,2154.1111111111113,2153.909090909091,0.0,2429.2608695652175,0.0,0.0,0.0,2747.0,2728.0526315789475,2739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.3636363636364,0.0,848.1428571428571,0.0,694.0,791.9767441860465,839.0,923.2222222222222,918.3333333333334,0.0,932.3333333333334,0.0,0.0,1039.0,915.95,0.0,1079.0,1123.0,0.0,0.0,1175.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.0,1571.0,1631.0,0.0,0.0,1920.4285714285713,1915.75,0.0,1925.25,2200.714285714286,0.0,0.0,2203.5714285714284,2203.0,2477.1176470588234,2476.904761904762,0.0,0.0,2478.1111111111113,2779.0,2779.6666666666665,2773.095238095238,2780.5,2778.2727272727275,0.0,3089.1052631578946,0.0,0.0,3084.75
9,827.16,721.36,828.3684210526316,686.44,867.0,864.2929292929293,854.4,890.24,808.0,958.4698795180723,1033.0,947.4081632653061,959.0,903.0,1052.3894736842105,1164.978021978022,1108.1546391752577,1115.2,1071.7272727272727,1165.5454545454545,1254.7021276595744,1203.0,1201.84,1147.0,1329.28,1373.6,1321.0,1288.469387755102,1288.52,1355.6842105263158,1611.0,1576.1546391752577,1610.0967741935483,1627.96,1610.4747474747476,1947.235294117647,1764.04,1935.88,1918.1724137931035,2008.3333333333333,2199.0,2201.4,2145.081632653061,2144.44,2170.8,2425.8979591836733,2461.9285714285716,2449.265060240964,2457.24,2424.5466666666666,2754.435294117647,2796.88,2718.3333333333335,2733.602409638554,2794.2842105263157,3052.409090909091,2899.24,3058.72,3034.0,3050.84,0.0,0.0,0.0,0.0,865.8205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.6781609195402,902.0843373493976,0.0,1090.111111111111,1044.3333333333333,0.0,1054.0,0.0,1205.4,1202.05,0.0,1145.964705882353,0.0,0.0,1267.0,0.0,0.0,0.0,1609.7894736842106,1527.0,1558.3333333333333,0.0,0.0,1919.0,0.0,0.0,0.0,1971.0,2195.5581395348836,0.0,2121.0,0.0,0.0,0.0,2438.0476190476193,2425.6666666666665,0.0,0.0,2728.5384615384614,0.0,0.0,0.0,2739.3636363636365,3032.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,884.1666666666666,0.0,871.6075949367089,939.0,0.0,0.0,0.0,977.8235294117648,0.0,1017.0,959.5591397849462,903.8395061728395,1125.4,0.0,0.0,0.0,1126.7333333333333,1235.0,1263.0,1203.9756097560976,0.0,1157.45,0.0,0.0,0.0,1299.0,0.0,1406.8333333333333,1612.2467532467533,1625.0,1619.0,0.0,1659.0,1994.076923076923,0.0,0.0,1965.4615384615386,2049.4,2199.6913580246915,0.0,0.0,0.0,0.0,2505.0,2485.782608695652,2471.0,0.0,2449.4,2787.0,0.0,2759.0,2817.1176470588234,0.0,0.0,0.0,0.0,0.0,0.0
10,773.9278350515464,693.6,748.72,828.76,794.76,896.978947368421,800.9240506329114,818.32,946.56,900.72,947.0,920.4193548387096,928.6744186046511,1055.618556701031,1018.72,1061.56,1053.04,1062.64,1162.4,1120.5714285714287,1168.6818181818182,1177.84,1179.28,1283.12,1226.72,1313.64,1284.0602409638554,1302.76,1336.1313131313132,1360.4315789473685,1589.888888888889,1572.84,1575.52,1600.56,1618.08,1923.28,1927.48,1923.36,1952.16,1987.45,2195.0,2167.4,2180.8,2187.0,2240.131313131313,2469.6666666666665,2462.6721311475408,2472.0232558139537,2462.688311688312,2524.0,2769.8045977011493,2785.3333333333335,2781.44,2782.16,2766.452631578947,3097.3655913978496,3077.6,3075.0,3076.16,3067.0,0.0,0.0,0.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0,946.35,0.0,919.0,1028.3333333333333,0.0,0.0,0.0,0.0,0.0,1095.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,1336.0,1564.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.2323232323233,0.0,0.0,2186.2,0.0,0.0,2439.2,0.0,0.0,0.0,2759.0,2757.6666666666665,0.0,0.0,2735.0,0.0,0.0,3075.0,0.0,3066.45,801.6666666666666,0.0,0.0,0.0,0.0,912.0,824.7142857142857,0.0,0.0,0.0,948.8850574712644,947.5714285714286,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0,0.0,0.0,0.0,1308.1764705882354,0.0,0.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,2195.0476190476193,0.0,0.0,2187.722891566265,2263.0,2504.8947368421054,2488.0,2497.0,2485.9565217391305,0.0,2794.6666666666665,2813.75,0.0,0.0,2791.0,3122.4285714285716,0.0,3075.96,0.0,3071.85393258427
11,843.0,755.6,717.5217391304348,759.0,749.7252747252747,894.0769230769231,868.8,819.28,879.0,872.7777777777778,1022.0,978.8695652173913,941.84,958.2,992.3170731707318,1113.24,1103.92,1052.0697674418604,1064.56,1111.3636363636363,1227.5263157894738,1185.0,1172.948717948718,1184.8,1241.04,1359.84,1306.6,1294.3417721518988,1296.530864197531,1353.1463414634147,1636.56,1592.72,1570.4347826086957,1599.3733333333332,1629.75,1950.9466666666667,1907.68,1896.7777777777778,1908.16,1965.28,2206.48,2194.32,2185.6938775510203,2203.0,2204.75,2481.6938775510203,2463.88,2476.0232558139537,2487.4,2481.6666666666665,2758.714285714286,2788.16,2772.76,2767.6,2774.48,3070.6,3077.2,3053.103092783505,3059.0,3060.183673469388,841.7532467532468,0.0,694.4285714285714,755.0,0.0,0.0,0.0,0.0,878.5180722891566,863.0,0.0,953.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.090909090909,0.0,1943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2181.75,2183.3636363636365,2463.0,0.0,2455.0,0.0,2458.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.8860759493673,0.0,845.7368421052631,0.0,727.0,770.578947368421,774.5555555555555,914.1111111111111,0.0,0.0,879.8,897.25,0.0,1006.2,0.0,0.0,1018.1111111111111,0.0,0.0,1077.2857142857142,0.0,1137.0,1252.7142857142858,0.0,1199.5454545454545,0.0,0.0,0.0,0.0,1320.142857142857,1323.6315789473683,1379.888888888889,0.0,0.0,1594.5,1607.0,1652.0,1976.6666666666667,0.0,1923.0,0.0,0.0,0.0,0.0,2231.0,2212.12,2230.5555555555557,2503.0,0.0,2499.3076923076924,0.0,2507.0,2787.75,0.0,0.0,0.0,0.0,0.0,0.0,3073.6666666666665,3060.3846153846152,3081.0
12,644.0612244897959,677.9090909090909,640.4222222222222,643.0,869.44,765.7951807228916,783.28,762.6962025316456,774.44,1002.28,895.8,891.92,892.68,907.0,1035.0,1031.0,1031.0,1028.979797979798,1028.438202247191,1141.72,1150.3734939759036,1158.1891891891892,1149.0816326530612,1149.1149425287356,1273.52,1271.0,1279.7058823529412,1258.6,1271.0,1349.6153846153845,1546.04,1548.88,1545.3030303030303,1545.76,1581.96,1881.48,1873.3673469387754,1871.0,1871.0,1919.88,2155.0,2169.88,2152.1428571428573,2162.04,2187.64,2453.7272727272725,2452.64,2450.956043956044,2441.12,2482.8,2740.32,2745.36,2728.1063829787236,2728.818181818182,2737.177777777778,3037.6,3056.56,3031.0,3031.0,3032.88,0.0,653.8571428571429,0.0,642.6455696202531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.625,1034.268817204301,1030.4545454545455,0.0,0.0,0.0,0.0,1126.764705882353,1137.4,1125.0,1127.3076923076924,0.0,1270.2173913043478,1255.0,0.0,1269.8936170212767,1326.04,0.0,0.0,1535.0,0.0,0.0,0.0,0.0,1870.659574468085,1870.8636363636363,0.0,2149.88,0.0,2130.1111111111113,0.0,0.0,2428.3333333333335,0.0,2428.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.452631578947,3030.6326530612246,0.0,669.0,701.0,669.0,644.1612903225806,0.0,790.2941176470588,0.0,788.5238095238095,0.0,0.0,0.0,0.0,0.0,907.2051282051282,1035.3294117647058,1031.7640449438202,0.0,1051.0,1053.5454545454545,0.0,0.0,1182.75,0.0,0.0,0.0,1271.3902439024391,1304.7142857142858,0.0,1271.3294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911.0,1871.516129032258,1873.3673469387754,0.0,2159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754.3333333333335,2750.6666666666665,2759.4,0.0,0.0,3031.224719101124,3031.087912087912,0.0
